LocationType,Location,TimeFrame,DataFormat,Data
County,Greene,2006,Number,237
County,Greene,2008,Number,235
County,Greene,2007,Number,230
County,Greene,2009,Number,245
County,Greene,2010,Number,251
County,Greene,2011,Number,183
County,Greene,2012,Number,181
County,Greene,2012,Rate,5.3
County,Greene,2013,Number,179
County,Greene,2013,Rate,5.3
County,Greene,2014,Number,195
County,Greene,2014,Rate,5.7
County,Greene,2016,Number,249
County,Greene,2016,Rate,7.33172
County,Greene,2015,Number,252
County,Greene,2015,Rate,7.4
County,Greene,2017,Number,239
County,Greene,2017,Rate,6.94001
County,Guernsey,2001,Number,124
County,Guernsey,2002,Number,101
County,Guernsey,2003,Number,119
County,Guernsey,2004,Number,87
County,Guernsey,2005,Number,91
County,Guernsey,2006,Number,92
County,Guernsey,2008,Number,78
County,Guernsey,2007,Number,85
County,Guernsey,2009,Number,96
County,Guernsey,2010,Number,91
County,Guernsey,2011,Number,91
County,Guernsey,2012,Number,73
County,Guernsey,2012,Rate,7.9
County,Guernsey,2013,Number,75
County,Guernsey,2013,Rate,8.2
County,Guernsey,2014,Number,63
County,Guernsey,2014,Rate,7
County,Guernsey,2016,Number,98
County,Guernsey,2016,Rate,11.22309
County,Guernsey,2015,Number,78
County,Guernsey,2015,Rate,8.8
County,Guernsey,2017,Number,134
County,Guernsey,2017,Rate,15.4218
County,Hamilton,2001,Number,3501
County,Hamilton,2002,Number,3276
County,Hamilton,2003,Number,3067
County,Hamilton,2004,Number,2847
County,Hamilton,2005,Number,2519
County,Hamilton,2006,Number,2559
County,Hamilton,2008,Number,2130
County,Hamilton,2007,Number,2001
County,Hamilton,2009,Number,2159
County,Hamilton,2010,Number,2033
County,Hamilton,2011,Number,2249
County,Hamilton,2012,Number,2325
County,Hamilton,2012,Rate,12.4
County,Hamilton,2013,Number,2326
County,Hamilton,2013,Rate,12.4
County,Hamilton,2014,Number,2147
County,Hamilton,2014,Rate,11.4
County,Hamilton,2016,Number,2933
County,Hamilton,2016,Rate,15.59824
County,Hamilton,2015,Number,2519
County,Hamilton,2015,Rate,13.4
County,Hamilton,2017,Number,3583
County,Hamilton,2017,Rate,19.10791
County,Hancock,2001,Number,63
County,Hancock,2002,Number,60
County,Hancock,2003,Number,79
County,Hancock,2004,Number,75
County,Hancock,2005,Number,75
County,Hancock,2006,Number,81
County,Hancock,2008,Number,107
County,Hancock,2007,Number,104
County,Hancock,2009,Number,101
County,Hancock,2010,Number,85
County,Hancock,2011,Number,85
County,Hancock,2012,Number,85
County,Hancock,2012,Rate,4.9
County,Hancock,2013,Number,75
County,Hancock,2013,Rate,4.4
County,Hancock,2014,Number,71
County,Hancock,2014,Rate,4.2
County,Hancock,2016,Number,76
County,Hancock,2016,Rate,4.42118
County,Hancock,2015,Number,73
County,Hancock,2015,Rate,4.3
County,Hancock,2017,Number,88
County,Hancock,2017,Rate,5.20741
County,Hardin,2001,Number,68
County,Hardin,2002,Number,48
County,Hardin,2003,Number,69
County,Hardin,2004,Number,63
County,Hardin,2005,Number,59
County,Hardin,2006,Number,49
County,Hardin,2008,Number,35
County,Hardin,2007,Number,39
