,LocationType,Location,TimeFrame,DataFormat,Data
975,County,Knox,2010,Number,26.0
976,County,Knox,2011,Number,24.0
977,County,Knox,2012,Number,36.0
979,County,Knox,2013,Number,28.0
981,County,Knox,2014,Number,46.0
983,County,Knox,2016,Number,114.0
985,County,Knox,2015,Number,43.0
987,County,Knox,2017,Number,150.0
995,County,Lake,2008,Number,118.0
997,County,Lake,2009,Number,104.0
998,County,Lake,2010,Number,104.0
999,County,Lake,2011,Number,109.0
1000,County,Lake,2012,Number,131.0
1002,County,Lake,2013,Number,139.0
1004,County,Lake,2014,Number,124.0
1006,County,Lake,2016,Number,139.0
1008,County,Lake,2015,Number,124.0
1010,County,Lake,2017,Number,152.0
1018,County,Lawrence,2008,Number,128.0
1020,County,Lawrence,2009,Number,130.0
1021,County,Lawrence,2010,Number,89.0
1022,County,Lawrence,2011,Number,65.0
1023,County,Lawrence,2012,Number,59.0
1025,County,Lawrence,2013,Number,52.0
1027,County,Lawrence,2014,Number,43.0
1029,County,Lawrence,2016,Number,84.0
1031,County,Lawrence,2015,Number,62.0
1033,County,Lawrence,2017,Number,98.0
1041,County,Licking,2008,Number,511.0
1043,County,Licking,2009,Number,478.0
1044,County,Licking,2010,Number,481.0
1045,County,Licking,2011,Number,479.0
1046,County,Licking,2012,Number,471.0
1048,County,Licking,2013,Number,511.0
1050,County,Licking,2014,Number,567.0
1052,County,Licking,2016,Number,551.0
1054,County,Licking,2015,Number,569.0
1056,County,Licking,2017,Number,677.0
1064,County,Logan,2008,Number,25.0
1066,County,Logan,2009,Number,15.0
1067,County,Logan,2010,Number,23.0
1068,County,Logan,2011,Number,39.0
1069,County,Logan,2012,Number,42.0
1071,County,Logan,2013,Number,40.0
1073,County,Logan,2014,Number,41.0
1075,County,Logan,2016,Number,65.0
1077,County,Logan,2015,Number,48.0
1079,County,Logan,2017,Number,85.0
1087,County,Lorain,2008,Number,178.0
1089,County,Lorain,2009,Number,189.0
1090,County,Lorain,2010,Number,211.0
1091,County,Lorain,2011,Number,236.0
1092,County,Lorain,2012,Number,287.0
1094,County,Lorain,2013,Number,290.0
1096,County,Lorain,2014,Number,275.0
1098,County,Lorain,2016,Number,233.0
1100,County,Lorain,2015,Number,236.0
1102,County,Lorain,2017,Number,234.0
1110,County,Lucas,2008,Number,1764.0
1112,County,Lucas,2009,Number,1165.0
1113,County,Lucas,2010,Number,858.0
1114,County,Lucas,2011,Number,848.0
1115,County,Lucas,2012,Number,938.0
1117,County,Lucas,2013,Number,1026.0
1119,County,Lucas,2014,Number,972.0
1121,County,Lucas,2016,Number,1142.0
1123,County,Lucas,2015,Number,986.0
1125,County,Lucas,2017,Number,1373.0
1133,County,Madison,2008,Number,53.0
1135,County,Madison,2009,Number,53.0
1136,County,Madison,2010,Number,38.0
1137,County,Madison,2011,Number,31.0
1138,County,Madison,2012,Number,38.0
1140,County,Madison,2013,Number,46.0
1142,County,Madison,2014,Number,32.0
1144,County,Madison,2016,Number,35.0
1146,County,Madison,2015,Number,26.0
1148,County,Madison,2017,Number,35.0
1156,County,Mahoning,2008,Number,380.0
1158,County,Mahoning,2009,Number,394.0
1159,County,Mahoning,2010,Number,359.0
1160,County,Mahoning,2011,Number,325.0
1161,County,Mahoning,2012,Number,315.0
1163,County,Mahoning,2013,Number,344.0
1165,County,Mahoning,2014,Number,285.0
1167,County,Mahoning,2016,Number,274.0
1169,County,Mahoning,2015,Number,289.0
1171,County,Mahoning,2017,Number,322.0
1179,County,Marion,2008,Number,82.0
1181,County,Marion,2009,Number,74.0
1182,County,Marion,2010,Number,91.0
1183,County,Marion,2011,Number,80.0
1184,County,Marion,2012,Number,72.0
1186,County,Marion,2013,Number,90.0
1188,County,Marion,2014,Number,88.0
1190,County,Marion,2016,Number,112.0
1192,County,Marion,2015,Number,103.0
1194,County,Marion,2017,Number,126.0
1202,County,Medina,2008,Number,81.0
1204,County,Medina,2009,Number,82.0
1205,County,Medina,2010,Number,74.0
1206,County,Medina,2011,Number,81.0
1207,County,Medina,2012,Number,91.0
1209,County,Medina,2013,Number,92.0
1211,County,Medina,2014,Number,91.0
1213,County,Medina,2016,Number,138.0
1215,County,Medina,2015,Number,108.0
1217,County,Medina,2017,Number,161.0
1225,County,Meigs,2008,Number,45.0
1227,County,Meigs,2009,Number,58.0
1228,County,Meigs,2010,Number,57.0
1229,County,Meigs,2011,Number,57.0
1230,County,Meigs,2012,Number,50.0
1232,County,Meigs,2013,Number,76.0
1234,County,Meigs,2014,Number,66.0
1236,County,Meigs,2016,Number,52.0
1238,County,Meigs,2015,Number,47.0
1240,County,Meigs,2017,Number,53.0
1248,County,Mercer,2008,Number,38.0
1250,County,Mercer,2009,Number,39.0
1251,County,Mercer,2010,Number,50.0
1252,County,Mercer,2011,Number,47.0
1253,County,Mercer,2012,Number,54.0
1255,County,Mercer,2013,Number,54.0
1257,County,Mercer,2014,Number,53.0
1259,County,Mercer,2016,Number,65.0
1261,County,Mercer,2015,Number,52.0
1263,County,Mercer,2017,Number,93.0
1271,County,Miami,2008,Number,140.0
1273,County,Miami,2009,Number,99.0
1274,County,Miami,2010,Number,70.0
1275,County,Miami,2011,Number,75.0
1276,County,Miami,2012,Number,86.0
1278,County,Miami,2013,Number,78.0
1280,County,Miami,2014,Number,82.0
1282,County,Miami,2016,Number,103.0
1284,County,Miami,2015,Number,79.0
1286,County,Miami,2017,Number,64.0
1294,County,Monroe,2008,Number,32.0
1296,County,Monroe,2009,Number,25.0
1297,County,Monroe,2010,Number,17.0
1298,County,Monroe,2011,Number,18.0
1299,County,Monroe,2012,Number,14.0
1301,County,Monroe,2013,Number,9.0
1303,County,Monroe,2014,Number,10.0
1305,County,Monroe,2016,Number,23.0
1307,County,Monroe,2015,Number,14.0
1309,County,Monroe,2017,Number,24.0
1317,County,Montgomery,2008,Number,1273.0
1319,County,Montgomery,2009,Number,1410.0
1320,County,Montgomery,2010,Number,1268.0
1321,County,Montgomery,2011,Number,1203.0
1322,County,Montgomery,2012,Number,1147.0
1324,County,Montgomery,2013,Number,1156.0
1326,County,Montgomery,2014,Number,1131.0
1328,County,Montgomery,2016,Number,1033.0
1330,County,Montgomery,2015,Number,1034.0
1332,County,Montgomery,2017,Number,1072.0
1340,County,Morgan,2008,Number,15.0
1342,County,Morgan,2009,Number,11.0
1343,County,Morgan,2010,Number,13.0
1344,County,Morgan,2011,Number,10.0
1345,County,Morgan,2012,Number,13.0
1347,County,Morgan,2013,Number,19.0
1349,County,Morgan,2014,Number,19.0
1351,County,Morgan,2016,Number,27.0
1353,County,Morgan,2015,Number,23.0
1355,County,Morgan,2017,Number,24.0
1363,County,Morrow,2008,Number,26.0
1365,County,Morrow,2009,Number,25.0
1366,County,Morrow,2010,Number,19.0
1367,County,Morrow,2011,Number,25.0
1368,County,Morrow,2012,Number,44.0
1370,County,Morrow,2013,Number,44.0
1372,County,Morrow,2014,Number,40.0
1374,County,Morrow,2016,Number,39.0
1376,County,Morrow,2015,Number,36.0
1378,County,Morrow,2017,Number,65.0
1386,County,Muskingum,2008,Number,290.0
1388,County,Muskingum,2009,Number,252.0
1389,County,Muskingum,2010,Number,138.0
1390,County,Muskingum,2011,Number,201.0
1391,County,Muskingum,2012,Number,167.0
1393,County,Muskingum,2013,Number,164.0
1395,County,Muskingum,2014,Number,211.0
1397,County,Muskingum,2016,Number,226.0
1399,County,Muskingum,2015,Number,217.0
1401,County,Muskingum,2017,Number,344.0
1409,County,Noble,2008,Number,8.0
1411,County,Noble,2009,Number,20.0
1412,County,Noble,2010,Number,28.0
1413,County,Noble,2011,Number,28.0
1414,County,Noble,2012,Number,19.0
1416,County,Noble,2013,Number,6.0
1418,County,Noble,2014,Number,13.0
1420,County,Noble,2016,Number,31.0
1422,County,Noble,2015,Number,20.0
1424,County,Noble,2017,Number,52.0
1432,County,Ottawa,2008,Number,35.0
1434,County,Ottawa,2009,Number,38.0
1435,County,Ottawa,2010,Number,40.0
1436,County,Ottawa,2011,Number,48.0
1437,County,Ottawa,2012,Number,36.0
1439,County,Ottawa,2013,Number,40.0
1441,County,Ottawa,2014,Number,43.0
1443,County,Ottawa,2016,Number,52.0
1445,County,Ottawa,2015,Number,46.0
1447,County,Ottawa,2017,Number,38.0
1455,County,Paulding,2008,Number,25.0
1457,County,Paulding,2009,Number,22.0
1458,County,Paulding,2010,Number,14.0
1459,County,Paulding,2011,Number,18.0
1460,County,Paulding,2012,Number,30.0
1462,County,Paulding,2013,Number,28.0
1464,County,Paulding,2014,Number,30.0
1466,County,Paulding,2016,Number,20.0
1468,County,Paulding,2015,Number,18.0
1470,County,Paulding,2017,Number,12.0
1478,County,Perry,2008,Number,62.0
1480,County,Perry,2009,Number,68.0
1481,County,Perry,2010,Number,96.0
1482,County,Perry,2011,Number,112.0
