,County,Total Deaths in 2008,Population in 2008,Total Deaths in 2009,Population in 2009,Total Deaths in 2010,Population in 2010,Total Deaths in 2011,Population in 2011,Total Deaths in 2012,Population in 2012,Total Deaths in 2013,Population in 2013,Total Deaths in 2014,Population in 2014,Total Deaths in 2015,Population in 2015,Total Deaths in 2016,Population in 2016,Total Deaths in 2017,Population in 2017,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate
31,Hancock,0,74781,9,74964,6,74687,8,74903,9,75443,9,75516,28,75189,35,75493,55,75590,93,75754,0.0,12.005762766127742,8.03352658427839,10.680480087579937,11.929536206142386,11.918004131574765,37.23948981898948,46.361914349674805,72.76094721524011,122.76579454550256
32,Hardin,7,32200,11,32185,16,32124,10,31800,2,31626,25,31731,3,31763,25,31613,20,31407,22,31364,21.73913043478261,34.17741183781265,49.80699788320259,31.446540880503143,6.3239107063808255,78.78730578929122,9.444951673330605,79.08139056717174,63.68007132167988,70.14411427113889
33,Harrison,0,15856,0,15860,0,15826,6,15789,0,15684,4,15603,5,15518,7,15393,0,15257,11,15216,0.0,0.0,0.0,38.00114003420103,0.0,25.63609562263667,32.220646990591575,45.47521600727603,0.0,72.29232386961093
34,Henry,0,28523,0,28322,3,28167,0,27991,0,27808,2,27805,3,27586,19,27472,14,27269,10,27185,0.0,0.0,10.650761529449355,0.0,0.0,7.192950908110053,10.875081563111724,69.16132789749562,51.34034984781254,36.78499172337686
35,Highland,6,43700,6,43578,9,43614,10,43364,5,42953,19,43179,20,43073,19,42939,13,42993,30,42971,13.729977116704807,13.768415255404102,20.63557573256294,23.060603265381424,11.640630456545527,44.00287176636791,46.43280013001184,44.24881809077994,30.237480520084663,69.8145260757255
36,Hocking,10,29445,2,29358,6,29479,18,29462,5,29302,19,28647,11,28739,9,28491,9,28386,22,28474,33.96162336559688,6.812453164384494,20.35347196309237,61.09564863213631,17.063681659954952,66.32457150836039,38.27551410974634,31.588922817731913,31.70577045022194,77.26346842733723
37,Holmes,0,42029,0,42275,0,42473,3,42788,0,43125,2,43602,0,43781,0,43868,5,43832,5,43957,0.0,0.0,0.0,7.0113115826867345,0.0,4.586945552956287,0.0,0.0,11.407191093265194,11.37475259913097
38,Huron,10,60121,20,59754,11,59557,19,59390,20,59160,37,58762,41,58562,24,58277,42,58391,85,58494,16.633123201543555,33.470562640157986,18.469701294558153,31.991917831284727,33.80662609871535,62.965862291957386,70.01127010689525,41.18262779484187,71.92889315134181,145.31404930420214
39,Jackson,8,33164,11,33115,14,33255,23,33128,15,32876,28,32802,22,32771,25,32564,19,32534,25,32449,24.122542515981184,33.21757511701646,42.09893249135468,69.42767447476454,45.62598856308553,85.36064874093043,67.13252570870587,76.77189534455226,58.40044261388086,77.04397670190144
40,Jefferson,5,69989,3,69833,5,69661,17,69018,8,68525,12,68148,15,67853,34,67471,26,66914,57,66359,7.143979768249297,4.295963226554781,7.1776173181550655,24.631255614477382,11.674571324334185,17.608733932030287,22.10661282478299,50.392020275377575,38.855844815733626,85.89641194110821
41,Knox,11,60348,17,60633,16,61092,25,61271,11,60740,20,60787,17,60929,24,60916,19,60832,36,61261,18.227613176907273,28.037537314663634,26.19000851175277,40.8023371578724,18.109976950938428,32.9017717604093,27.901327774951174,39.39851598923107,31.233561283534982,58.764956497608594
42,Lake,37,229904,49,229954,97,229991,108,229934,113,229485,99,229885,117,229662,136,229571,289,229270,263,230117,16.093673881272185,21.308609547996557,42.17556339161098,46.970000086981486,49.240691112708895,43.06501076625269,50.944431381769725,59.240931999250776,126.05225280237275,114.28968741987772
43,Lawrence,16,62640,19,62667,21,62423,50,62409,23,62139,25,61847,17,61538,76,60921,66,60729,98,60249,25.542784163473822,30.31898766495923,33.64144626179453,80.1166498421702,37.01379166063181,40.42233253027633,27.62520718905392,124.75172764728092,108.67954354591711,162.65830138259557
44,Licking,22,163916,20,165283,28,166713,23,167149,20,167568,41,168401,39,169295,38,170425,27,171822,87,173448,13.421508577564117,12.100458002335388,16.795330898010352,13.760178044738527,11.93545306979853,24.34664877286952,23.036711066481587,22.297198181018043,15.713936515696476,50.15912550159126
45,Logan,9,46115,9,46055,7,45749,0,45623,11,45409,16,45388,10,45469,21,45260,35,45171,45,45325,19.51642632549062,19.54185213331886,15.300880893571444,0.0,24.224272721266708,35.25160835463118,21.99300622402076,46.39858594785683,77.48334108166745,99.28295642581357
