,County,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate,Total Death Rate
29,Guernsey,0.0,12.424829779832017,27.412963839808608,5.012280086211217,15.04853151413308,32.741468328925826,60.47015545869132,48.24171638948838,76.53061224489795,58.8340623641061,336.7166200060945
30,Hamilton,24.75495099019804,20.943739878750705,28.294396338430893,36.09716006529964,41.25546229799157,54.07696830841027,78.95487053632296,127.90618563714969,121.83876546593144,169.57025000552946,703.6927495240147
31,Hancock,0.0,12.005762766127742,8.03352658427839,10.680480087579937,11.929536206142386,11.918004131574765,37.23948981898948,46.361914349674805,72.76094721524011,122.76579454550256,333.6954557051102
32,Hardin,21.73913043478261,34.17741183781265,49.80699788320259,31.446540880503143,6.3239107063808255,78.78730578929122,9.444951673330605,79.08139056717174,63.68007132167988,70.14411427113889,444.6318253652941
33,Harrison,0.0,0.0,0.0,38.00114003420103,0.0,25.63609562263667,32.220646990591575,45.47521600727603,0.0,72.29232386961093,213.62542252431624
34,Henry,0.0,0.0,10.650761529449355,0.0,0.0,7.192950908110053,10.875081563111724,69.16132789749562,51.34034984781254,36.78499172337686,186.00546346935616
35,Highland,13.729977116704807,13.768415255404102,20.63557573256294,23.060603265381424,11.640630456545527,44.00287176636791,46.43280013001184,44.24881809077994,30.237480520084663,69.8145260757255,317.5716984095686
36,Hocking,33.96162336559688,6.812453164384494,20.35347196309237,61.09564863213631,17.063681659954952,66.32457150836039,38.27551410974634,31.588922817731913,31.70577045022194,77.26346842733723,384.4451260985628
37,Holmes,0.0,0.0,0.0,7.0113115826867345,0.0,4.586945552956287,0.0,0.0,11.407191093265194,11.37475259913097,34.380200828039186
38,Huron,16.633123201543555,33.470562640157986,18.469701294558153,31.991917831284727,33.80662609871535,62.965862291957386,70.01127010689525,41.18262779484187,71.92889315134181,145.31404930420214,525.7746337154982
39,Jackson,24.122542515981184,33.21757511701646,42.09893249135468,69.42767447476454,45.62598856308553,85.36064874093043,67.13252570870587,76.77189534455226,58.40044261388086,77.04397670190144,579.2022022721733
