,Location,Year,Children In Foster Care
1757,Stark,2010,854
1758,Stark,2011,862
1759,Stark,2012,741
1761,Stark,2013,713
1763,Stark,2014,804
1765,Stark,2016,633
1767,Stark,2015,717
1769,Stark,2017,671
1777,Summit,2008,1965
1779,Summit,2009,1712
1780,Summit,2010,1583
1781,Summit,2011,1440
1782,Summit,2012,1289
1784,Summit,2013,1213
1786,Summit,2014,1270
1788,Summit,2016,1460
1790,Summit,2015,1368
1792,Summit,2017,1409
1800,Trumbull,2008,268
1802,Trumbull,2009,300
1803,Trumbull,2010,280
1804,Trumbull,2011,277
1805,Trumbull,2012,271
1807,Trumbull,2013,245
1809,Trumbull,2014,288
1811,Trumbull,2016,266
1813,Trumbull,2015,320
1815,Trumbull,2017,266
1823,Tuscarawas,2008,219
1825,Tuscarawas,2009,185
1826,Tuscarawas,2010,188
1827,Tuscarawas,2011,187
1828,Tuscarawas,2012,171
1830,Tuscarawas,2013,168
1832,Tuscarawas,2014,142
1834,Tuscarawas,2016,169
1836,Tuscarawas,2015,162
1838,Tuscarawas,2017,149
1846,Union,2008,92
1848,Union,2009,87
1849,Union,2010,85
1850,Union,2011,90
1851,Union,2012,72
1853,Union,2013,80
1855,Union,2014,69
1857,Union,2016,80
1859,Union,2015,76
1861,Union,2017,69
1869,Van Wert,2008,7
1871,Van Wert,2009,6
1872,Van Wert,2010,2
1873,Van Wert,2011,14
1874,Van Wert,2012,10
1876,Van Wert,2013,8
1878,Van Wert,2014,9
1880,Van Wert,2016,6
1882,Van Wert,2015,5
1884,Van Wert,2017,12
1892,Vinton,2008,54
1894,Vinton,2009,38
1895,Vinton,2010,37
1896,Vinton,2011,51
1897,Vinton,2012,49
1899,Vinton,2013,64
1901,Vinton,2014,59
1903,Vinton,2016,60
1905,Vinton,2015,46
1907,Vinton,2017,52
1915,Warren,2008,139
1917,Warren,2009,127
1918,Warren,2010,145
1919,Warren,2011,161
1920,Warren,2012,196
1922,Warren,2013,202
1924,Warren,2014,205
1926,Warren,2016,315
1928,Warren,2015,259
1930,Warren,2017,353
1938,Washington,2008,66
1940,Washington,2009,87
1941,Washington,2010,76
1942,Washington,2011,66
1943,Washington,2012,59
1945,Washington,2013,68
1947,Washington,2014,68
1949,Washington,2016,112
1951,Washington,2015,84
1953,Washington,2017,116
1961,Wayne,2008,221
1963,Wayne,2009,217
1964,Wayne,2010,180
1965,Wayne,2011,194
1966,Wayne,2012,239
1968,Wayne,2013,251
1970,Wayne,2014,230
1972,Wayne,2016,216
1974,Wayne,2015,214
1976,Wayne,2017,198
1984,Williams,2008,60
1986,Williams,2009,70
1987,Williams,2010,82
1988,Williams,2011,78
1989,Williams,2012,71
1991,Williams,2013,78
1993,Williams,2014,71
1995,Williams,2016,68
1997,Williams,2015,105
1999,Williams,2017,56
2007,Wood,2008,81
2009,Wood,2009,67
2010,Wood,2010,74
2011,Wood,2011,67
2012,Wood,2012,66
2014,Wood,2013,81
2016,Wood,2014,62
2018,Wood,2016,63
2020,Wood,2015,74
2022,Wood,2017,88
2030,Wyandot,2008,15
2032,Wyandot,2009,14
2033,Wyandot,2010,25
2034,Wyandot,2011,30
2035,Wyandot,2012,22
2037,Wyandot,2013,12
2039,Wyandot,2014,12
2041,Wyandot,2016,7
2043,Wyandot,2015,9
2045,Wyandot,2017,21
